 #	x	F(x)
 0.2452452  0.9985250
 0.2462462  0.9985068
 0.2472472  0.9984885
 0.2482482  0.9984701
 0.2492492  0.9984515
 0.2502503  0.9984328
 0.2512513  0.9984139
 0.2522523  0.9983949
 0.2532533  0.9983757
 0.2542543  0.9983564
 0.2552553  0.9983369
 0.2562563  0.9983172
 0.2572573  0.9982974
 0.2582583  0.9982775
 0.2592593  0.9982574
 0.2602603  0.9982371
 0.2612613  0.9982167
 0.2622623  0.9981961
 0.2632633  0.9981754
 0.2642643  0.9981545
 0.2652653  0.9981334
 0.2662663  0.9981122
 0.2672673  0.9980909
 0.2682683  0.9980693
 0.2692693  0.9980476
 0.2702703  0.9980258
 0.2712713  0.9980038
 0.2722723  0.9979816
 0.2732733  0.9979592
 0.2742743  0.9979367
 0.2752753  0.9979141
 0.2762763  0.9978912
 0.2772773  0.9978682
 0.2782783  0.9978450
 0.2792793  0.9978217
 0.2802803  0.9977982
 0.2812813  0.9977745
 0.2822823  0.9977507
 0.2832833  0.9977267
 0.2842843  0.9977025
 0.2852853  0.9976781
 0.2862863  0.9976536
 0.2872873  0.9976289
 0.2882883  0.9976040
 0.2892893  0.9975790
 0.2902903  0.9975538
 0.2912913  0.9975284
 0.2922923  0.9975028
 0.2932933  0.9974771
 0.2942943  0.9974511
 0.2952953  0.9974250
 0.2962963  0.9973988
 0.2972973  0.9973723
 0.2982983  0.9973457
 0.2992993  0.9973189
 0.3003003  0.9972919
 0.3013013  0.9972647
 0.3023023  0.9972374
 0.3033033  0.9972098
 0.3043043  0.9971821
 0.3053053  0.9971542
 0.3063063  0.9971261
 0.3073073  0.9970979
 0.3083083  0.9970694
 0.3093093  0.9970408
 0.3103103  0.9970119
 0.3113113  0.9969829
 0.3123123  0.9969537
 0.3133133  0.9969244
 0.3143143  0.9968948
 0.3153153  0.9968650
 0.3163163  0.9968351
 0.3173173  0.9968049
 0.3183183  0.9967746
 0.3193193  0.9967441
 0.3203203  0.9967133
 0.3213213  0.9966824
 0.3223223  0.9966513
 0.3233233  0.9966200
 0.3243243  0.9965886
 0.3253253  0.9965569
 0.3263263  0.9965250
 0.3273273  0.9964929
 0.3283283  0.9964606
 0.3293293  0.9964282
 0.3303303  0.9963955
 0.3313313  0.9963626
 0.3323323  0.9963296
 0.3333333  0.9962963
 0.3343343  0.9962628
 0.3353353  0.9962292
 0.3363363  0.9961953
 0.3373373  0.9961612
 0.3383383  0.9961269
 0.3393393  0.9960925
 0.3403403  0.9960578
 0.3413413  0.9960229
 0.3423423  0.9959878
 0.3433433  0.9959525
 0.3443443  0.9959170
 0.3453453  0.9958813
 0.3463463  0.9958454
 0.3473473  0.9958092
 0.3483483  0.9957729
 0.3493493  0.9957364
 0.3503504  0.9956996
 0.3513514  0.9956626
 0.3523524  0.9956255
 0.3533534  0.9955881
 0.3543544  0.9955505
 0.3553554  0.9955127
 0.3563564  0.9954746
 0.3573574  0.9954364
 0.3583584  0.9953979
 0.3593594  0.9953593
 0.3603604  0.9953204
 0.3613614  0.9952813
 0.3623624  0.9952419
 0.3633634  0.9952024
 0.3643644  0.9951626
 0.3653654  0.9951227
 0.3663664  0.9950825
 0.3673674  0.9950421
 0.3683684  0.9950014
 0.3693694  0.9949606
 0.3703704  0.9949195
 0.3713714  0.9948782
 0.3723724  0.9948366
 0.3733734  0.9947949
 0.3743744  0.9947529
 0.3753754  0.9947107
 0.3763764  0.9946683
 0.3773774  0.9946256
 0.3783784  0.9945827
 0.3793794  0.9945396
 0.3803804  0.9944963
 0.3813814  0.9944527
 0.3823824  0.9944089
 0.3833834  0.9943649
 0.3843844  0.9943207
 0.3853854  0.9942762
 0.3863864  0.9942315
 0.3873874  0.9941865
 0.3883884  0.9941413
 0.3893894  0.9940959
 0.3903904  0.9940503
 0.3913914  0.9940044
 0.3923924  0.9939583
 0.3933934  0.9939119
 0.3943944  0.9938653
 0.3953954  0.9938185
 0.3963964  0.9937714
 0.3973974  0.9937241
 0.3983984  0.9936766
 0.3993994  0.9936288
 0.4004004  0.9935808
 0.4014014  0.9935325
 0.4024024  0.9934840
 0.4034034  0.9934352
 0.4044044  0.9933863
 0.4054054  0.9933370
 0.4064064  0.9932875
 0.4074074  0.9932378
 0.4084084  0.9931879
 0.4094094  0.9931376
 0.4104104  0.9930872
 0.4114114  0.9930365
 0.4124124  0.9929855
 0.4134134  0.9929343
 0.4144144  0.9928829
 0.4154154  0.9928312
 0.4164164  0.9927792
 0.4174174  0.9927270
 0.4184184  0.9926746
 0.4194194  0.9926219
 0.4204204  0.9925689
 0.4214214  0.9925157
 0.4224224  0.9924623
 0.4234234  0.9924086
 0.4244244  0.9923546
 0.4254254  0.9923004
 0.4264264  0.9922459
 0.4274274  0.9921911
 0.4284284  0.9921362
 0.4294294  0.9920809
 0.4304304  0.9920254
 0.4314314  0.9919696
 0.4324324  0.9919136
 0.4334334  0.9918573
 0.4344344  0.9918008
 0.4354354  0.9917440
 0.4364364  0.9916869
 0.4374374  0.9916296
 0.4384384  0.9915720
 0.4394394  0.9915141
 0.4404404  0.9914560
 0.4414414  0.9913976
 0.4424424  0.9913390
 0.4434434  0.9912800
 0.4444444  0.9912209
 0.4454454  0.9911614
 0.4464464  0.9911017
 0.4474474  0.9910417
 0.4484484  0.9909814
 0.4494494  0.9909209
 0.4504505  0.9908601
 0.4514515  0.9907990
 0.4524525  0.9907377
 0.4534535  0.9906761
 0.4544545  0.9906142
 0.4554555  0.9905520
 0.4564565  0.9904896
 0.4574575  0.9904269
 0.4584585  0.9903639
 0.4594595  0.9903007
 0.4604605  0.9902371
 0.4614615  0.9901733
 0.4624625  0.9901092
 0.4634635  0.9900449
 0.4644645  0.9899802
 0.4654655  0.9899153
 0.4664665  0.9898501
 0.4674675  0.9897846
 0.4684685  0.9897189
 0.4694695  0.9896528
 0.4704705  0.9895865
 0.4714715  0.9895199
 0.4724725  0.9894530
 0.4734735  0.9893858
 0.4744745  0.9893183
 0.4754755  0.9892506
 0.4764765  0.9891826
 0.4774775  0.9891142
 0.4784785  0.9890456
 0.4794795  0.9889767
 0.4804805  0.9889076
 0.4814815  0.9888381
 0.4824825  0.9887683
 0.4834835  0.9886983
 0.4844845  0.9886279
 0.4854855  0.9885573
 0.4864865  0.9884864
 0.4874875  0.9884151
 0.4884885  0.9883436
 0.4894895  0.9882718
 0.4904905  0.9881997
 0.4914915  0.9881273
 0.4924925  0.9880547
 0.4934935  0.9879817
 0.4944945  0.9879084
 0.4954955  0.9878348
 0.4964965  0.9877609
 0.4974975  0.9876867
 0.4984985  0.9876123
 0.4994995  0.9875375
 0.5005005  0.9874624
 0.5015015  0.9873870
 0.5025025  0.9873114
 0.5035035  0.9872354
 0.5045045  0.9871591
 0.5055055  0.9870825
 0.5065065  0.9870056
 0.5075075  0.9869284
 0.5085085  0.9868509
 0.5095095  0.9867731
 0.5105105  0.9866950
 0.5115115  0.9866166
 0.5125125  0.9865379
 0.5135135  0.9864588
 0.5145145  0.9863795
 0.5155155  0.9862999
 0.5165165  0.9862199
 0.5175175  0.9861396
 0.5185185  0.9860590
 0.5195195  0.9859781
 0.5205205  0.9858969
 0.5215215  0.9858154
 0.5225225  0.9857336
 0.5235235  0.9856514
 0.5245245  0.9855690
 0.5255255  0.9854862
 0.5265265  0.9854031
 0.5275275  0.9853197
 0.5285285  0.9852360
 0.5295295  0.9851519
 0.5305305  0.9850675
 0.5315315  0.9849829
 0.5325325  0.9848979
 0.5335335  0.9848125
 0.5345345  0.9847269
 0.5355355  0.9846409
 0.5365365  0.9845546
 0.5375375  0.9844680
 0.5385385  0.9843811
 0.5395395  0.9842938
 0.5405405  0.9842063
 0.5415415  0.9841184
 0.5425425  0.9840301
 0.5435435  0.9839416
 0.5445445  0.9838527
 0.5455455  0.9837635
 0.5465465  0.9836739
 0.5475475  0.9835841
 0.5485485  0.9834939
